Total tasks: 176
Project: 25, ID: 151, What: Revisar Metas do Trimestre, Stage: completed, Status: completed
Project: 26, ID: 178, What: Fase 5 - Canais WhatsApp e E-mail, Stage: completed, Status: completed
Project: 26, ID: 179, What: Fase 4 - Assistente de Funcionamento e Onboarding, Stage: completed, Status: completed
Project: 26, ID: 180, What: Fase 6 - Planejamento e Arquitetura Empresarial, Stage: completed, Status: completed
Project: 11, ID: 2, What: Endreço, Stage: completed, Status: completed
Project: 12, ID: 3, What: Visita Life Prestige, Stage: inbox, Status: planned
Project: 10, ID: 5, What: Senhas e Informações Fiscais (Nivea), Stage: completed, Status: completed
Project: 12, ID: 6, What: Novas Fotos Life Prestige, Stage: inbox, Status: planned
Project: 25, ID: 152, What: Finalizar Documentação IA, Stage: todo, Status: planned
Project: 15, ID: 112, What: Controle de Jornada - Sistema para fazer controle de jornada acoplado ao sistema de Marcel, Stage: completed, Status: completed
Project: 11, ID: 27, What: Fazer visita no imóvel do Tribeca que irá para leilão, Stage: executing, Status: planned
Project: 25, ID: 153, What: Finalizar Documentação IA, Stage: todo, Status: planned
Project: 4, ID: 144, What: Operação -> Consumo estimado de insumos dos clientes, Stage: completed, Status: completed
Project: 31, ID: 191, What: Fase 2 - Extracao do nucleo do menu_engine, Stage: inbox, Status: planned
Project: 31, ID: 192, What: Fase 3 - Schemas e coleta deterministica de parametros, Stage: inbox, Status: planned
Project: 31, ID: 193, What: Fase 4 - Descoberta hibrida de workflows, Stage: inbox, Status: planned
Project: 31, ID: 194, What: Fase 5 - Handlers piloto de Summary, Task e Meeting, Stage: inbox, Status: planned
Project: 31, ID: 190, What: Fase 1 - Modelagem do Workflow Engine V2/V3, Stage: inbox, Status: planned
Project: 22, ID: 53, What: Plano de Cargos e Salários, Stage: completed, Status: completed
Project: 10, ID: 57, What: Alteração VM, Stage: completed, Status: completed
Project: 25, ID: 154, What: Finalizar Documentação IA, Stage: todo, Status: planned
Project: 31, ID: 195, What: Fase 6 - Seguranca, observabilidade e HITL, Stage: inbox, Status: planned
Project: 31, ID: 196, What: Fase 7 - QA, rollout controlado e documentacao, Stage: inbox, Status: planned
Project: 31, ID: 189, What: Fase 0 - Kickoff, escopo e backlog executivo, Stage: executing, Status: in_progress
Project: 16, ID: 131, What: Validar preço de venda do marceneiro para o cliente final e da indústria para o marceneiro., Stage: executing, Status: planned
Project: 3, ID: 74, What: Teste Fabiano 01, Stage: completed, Status: completed
Project: 31, ID: 197, What: Sistema de Rastreio de Intervenções (Integração Sapiens) - Fase 01, Stage: inbox, Status: planned
Project: 21, ID: 81, What: Erro contagem de estoque, Stage: completed, Status: completed
Project: 31, ID: 198, What: [BUG] Inconsistência Detectada Automagicamente, Stage: inbox, Status: planned
Project: 16, ID: 118, What: Verificar sobre pagamento das máquinas na China, Stage: executing, Status: planned
Project: 15, ID: 111, What: Trilha Estoque / Insumos -> Entrega Única, Stage: waiting, Status: planned
Project: 16, ID: 132, What: Validar condições de compra / locação do imóvel, Stage: executing, Status: planned
Project: 16, ID: 133, What: Validar o tamanho do mercado de Marceneiros, Stage: executing, Status: planned
Project: 16, ID: 134, What: Verificar aportes pelos 50% da empresa, Stage: executing, Status: planned
Project: 16, ID: 136, What: Escolher nome para a empresa, Stage: executing, Status: planned
Project: 16, ID: 135, What: Concorrentes, Stage: completed, Status: completed
Project: 24, ID: 1, What: Analisar outro sistema que permita 02 cnpjs, Stage: executing, Status: planned
Project: 24, ID: 10, What: Emissão de Notas Pelo Site da Prefeitura, Stage: completed, Status: completed
Project: 24, ID: 38, What: Configurar Itau (conta antiga e nova) com a senha de Josi / Erika, Stage: completed, Status: completed
Project: 24, ID: 63, What: Configurar o Conta Azul para conciliar a nova conta corrente, Stage: completed, Status: completed
Project: 10, ID: 4, What: Pendência Gas Evolution - Simões Filho, Stage: pending, Status: planned
Project: 23, ID: 7, What: Reorganização da Loja, Stage: executing, Status: planned
Project: 2, ID: 8, What: Fazer POPs das atividades dos postos e do financeiro, Stage: executing, Status: planned
Project: 2, ID: 9, What: Instalar sistema de ponto na BR 324, Stage: executing, Status: planned
Project: 11, ID: 11, What: Fazer alteração contratual, Stage: executing, Status: planned
Project: 11, ID: 12, What: Ver outros leilões de imóveis, Stage: inbox, Status: planned
Project: 11, ID: 13, What: Buscar novos imóveis para o mês de Janeiro, Stage: inbox, Status: planned
Project: 5, ID: 14, What: Resumo Reunião, Stage: completed, Status: completed
Project: 5, ID: 15, What: Endereço, Stage: completed, Status: completed
Project: 19, ID: 16, What: Rever demonstrativos financeiros, Stage: completed, Status: completed
Project: 5, ID: 17, What: Fazer alteração contratual, Stage: inbox, Status: planned
Project: 5, ID: 18, What: Vender Apartamento do Itaigara, Stage: inbox, Status: planned
Project: 5, ID: 19, What: Fazer alteração contratual, Stage: inbox, Status: planned
Project: 11, ID: 20, What: Custo tributário para a atividade de compra e venda de imóveis, Stage: completed, Status: completed
Project: 11, ID: 21, What: Estudo de transformação da Gandu Motor em uma Patrimonial Unipessoal, Stage: completed, Status: completed
Project: 11, ID: 22, What: Analise do Mercado de Madeira, Stage: pending, Status: planned
Project: 11, ID: 23, What: Integralização de Capital, Stage: waiting, Status: planned
Project: 11, ID: 24, What: Análise de outros produtos que podem ser agregados às madeireira para venda online, Stage: pending, Status: planned
Project: 3, ID: 49, What: Implantar sismtema nos postos que faltam, Stage: completed, Status: completed
Project: 11, ID: 25, What: Análise de outros produtos que podem ser agregados às madeireira para venda presncial, Stage: pending, Status: planned
Project: 11, ID: 26, What: Avaliar riscos jurídicos e processual do leilão., Stage: inbox, Status: planned
Project: 25, ID: 167, What: [EXEMPLO] Relatório de Desempenho Mensal, Stage: todo, Status: planned
Project: 5, ID: 28, What: Vender Apartamento do Itaigara, Stage: inbox, Status: planned
Project: 5, ID: 29, What: Resumo Reunião - 2025.11.29 - Reunião Semanal, Stage: inbox, Status: completed
Project: 10, ID: 30, What: Certificado Digital (Nivea), Stage: waiting, Status: planned
Project: 10, ID: 31, What: Débitos VM, Stage: waiting, Status: planned
Project: 14, ID: 32, What: Verificar questão do pagamento do condomínio atrasado pela caixa. Existe uma informação de que a partir de 20 meses a caixa paga., Stage: completed, Status: completed
Project: 4, ID: 33, What: Comercial -> Business Review clientes de Recife e Região, Stage: waiting, Status: planned
Project: 9, ID: 34, What: Ver sistema para emissão de nota fiscal de venda pela empresa nova (Save)., Stage: executing, Status: planned
Project: 5, ID: 35, What: Endereço, Stage: completed, Status: completed
Project: 10, ID: 36, What: Alteração Constituinte, Stage: pending, Status: planned
Project: 23, ID: 37, What: SAC - Trello, Stage: executing, Status: planned
Project: 20, ID: 39, What: Reunião com a equipe de Headers, Stage: completed, Status: completed
Project: 17, ID: 40, What: Lucro Real Gas Evolution, Stage: completed, Status: completed
Project: 22, ID: 41, What: Aprovar Mapa de Processos com Ricardo, Stage: completed, Status: completed
Project: 20, ID: 42, What: Visitar todas as lojas para ver o funcionamento, problemas e acertos de perto, Stage: waiting, Status: planned
Project: 3, ID: 43, What: Sistema rodando em São Tomé, Stage: completed, Status: completed
Project: 10, ID: 44, What: Autorização ANP - RT (Cajazeiras), Stage: waiting, Status: planned
Project: 10, ID: 45, What: Pendência IRPF Azevedo e CIDA, Stage: waiting, Status: planned
Project: 23, ID: 46, What: Identidade Organizacional, Stage: waiting, Status: planned
Project: 17, ID: 47, What: Planejamento Tributário - Lucro Real, Stage: completed, Status: completed
Project: 23, ID: 48, What: SAD - Sistema Ominichanell, Stage: executing, Status: planned
Project: 3, ID: 50, What: Divisão de Postos - Conferencia de Caixa, Stage: completed, Status: completed
Project: 17, ID: 109, What: Criar Rotina de Obrigações Lucro Real (Gás Evolution), Stage: executing, Status: planned
Project: 10, ID: 51, What: Pendências Contrato, Stage: waiting, Status: planned
Project: 10, ID: 52, What: Pendência Fiscal do Gás, Stage: waiting, Status: planned
Project: 13, ID: 54, What: Saneamento de Cadastros de Produtos do Conta Azul, Stage: completed, Status: completed
Project: 13, ID: 55, What: Descrever os processos e atividades da operação (RTS), Stage: executing, Status: planned
Project: 3, ID: 56, What: Contratar um auxiliar de contabilidade para ficar no lugar de Sandro, e ele ficará com a tesouraria (inclusive receber dinheiro)., Stage: completed, Status: completed
Project: 3, ID: 59, What: Teste Fabiano 02, Stage: completed, Status: completed
