      table_name      |     column_name      
----------------------+----------------------
 incentive_indicators | id
 incentive_indicators | company_id
 incentive_indicators | source_id
 incentive_indicators | is_active
 incentive_indicators | created_at
 incentive_indicators | updated_at
 incentive_indicators | source_detail
 incentive_indicators | tree_id
 indicators           | id
 indicators           | company_id
 indicators           | group_id
 indicators           | process_id
 indicators           | project_id
 indicators           | department_id
 indicators           | okr_id
 indicators           | collaborators
 indicators           | created_at
 indicators           | updated_at
 indicators           | tree_id
 indicators           | source_id
 indicators           | is_active
 indicators           | name
 indicators           | collection_mode
 indicators           | aggregation_function
 indicators           | full_code
 indicators           | indicator_type
 incentive_indicators | code
 incentive_indicators | name
 incentive_indicators | description
 incentive_indicators | indicator_type
 incentive_indicators | source_module
 indicators           | source_module
 indicators           | unit
 indicators           | formula
 indicators           | polarity
 incentive_indicators | collection_mode
 incentive_indicators | aggregation_function
 incentive_indicators | unit
 indicators           | data_source
 indicators           | notes
 incentive_indicators | full_code
 indicators           | okr_reference
 indicators           | okr_level
 indicators           | description
 indicators           | code
(45 rows)


