source_text,source_code,source_name,target_id,target_code,target_name,reason
7.06.001 - Retirada Pro-Labore,7.06.001,Retirada Pro-Labore,197,8.6.001,Retirada Pro-Labore,explicit_code_map
3.01.001 - Receita de Serviços Prestados,3.01.001,Receita de Serviços Prestados,80,3.01.001,Receita de Serviços Prestados ,explicit_code_map
6.01.001 - Simples Nacional,6.01.001,Simples Nacional,93,4.01.001,Simples Nacional,explicit_code_map
7.01.004 - Transporte - Adm/Coml,7.01.004,Transporte - Adm/Coml,155,8.1.004,Transporte - Adm/Coml,explicit_code_map
7.03.999 - Outras Desp. Adm.,7.03.999,Outras Desp. Adm.,186,8.3.015,Outras Desp. Adm.,explicit_code_map
5.05.005 - Manutenção de Poços,5.05.005,Manutenção de Poços,147,7.5.005,Manutenção de Poços,explicit_code_map
8.02.001 - Compra de Equipamentos Operacionais,8.02.001,Compra de Equipamentos Operacionais,207,9.2.001,Compra de Equipamentos Operacionais,explicit_code_map
4.01.001 - Insumos - Quimicos,4.01.001,Insumos - Quimicos,100,6.1.001,Insumos - Quimicos,explicit_code_map
5.01.005 - Saude - Operacao,5.01.005,Saude - Operacao,110,7.1.005,Saude - Operacao,explicit_code_map
7.03.001 - Aluguel - Adm,7.03.001,Aluguel - Adm,172,8.3.001,Aluguel - Adm,explicit_code_map
5.01.004 - Transporte - Operacao,5.01.004,Transporte - Operacao,109,7.1.004,Transporte - Operacao,explicit_code_map
7.01.012 - PJ - Adm / Coml,7.01.012,PJ - Adm / Coml,163,8.1.012,PJ - Adm / Coml,explicit_code_map
5.01.003 - Alimentacao - Operacao,5.01.003,Alimentacao - Operacao,108,7.1.003,Alimentacao - Operacao,explicit_code_map
5.03.003 - Manutencao de Maqu/Equip - Operacao,5.03.003,Manutencao de Maqu/Equip - Operacao,133,7.3.003,Manutencao de Maqu/Equip - Operacao,explicit_code_map
3.05.001 - Juros de Aplicacao Financeira,3.05.001,Juros de Aplicacao Financeira,84,3.03.001,Juros de Aplicacao Financeira,explicit_code_map
4.01.004 - Insumos - Outros,4.01.004,Insumos - Outros,103,6.1.004,Insumos - Outros,explicit_code_map
5.02.008 - Estacionamento Operação,5.02.008,Estacionamento Operação,128,7.2.008,Estacionamento Operação,explicit_code_map
5.02.004 - Manutencao de Veiculos - Operacao,5.02.004,Manutencao de Veiculos - Operacao,124,7.2.004,Manutencao de Veiculos - Operacao,explicit_code_map
5.02.003 - Combustivel - Operacao,5.02.003,Combustivel - Operacao,123,7.2.003,Combustivel - Operacao,explicit_code_map
