excel_row,allocation_seq,movement_class,source_category,allocation_amount,target_account_id,target_account_code,target_account_name,map_reason
2,1,payment,7.06.001 - Retirada Pro-Labore,30000.0,197,8.6.001,Retirada Pro-Labore,explicit_code_map
3,1,receipt,3.01.001 - Receita de Serviços Prestados,5142.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
3,2,receipt,6.01.001 - Simples Nacional,109.52,93,4.01.001,Simples Nacional,explicit_code_map
4,1,receipt,3.01.001 - Receita de Serviços Prestados,1169.86,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
5,1,payment,7.01.004 - Transporte - Adm/Coml,141.6,155,8.1.004,Transporte - Adm/Coml,explicit_code_map
6,1,payment,7.03.999 - Outras Desp. Adm.,100.0,186,8.3.015,Outras Desp. Adm.,explicit_code_map
7,1,payment,5.05.005 - Manutenção de Poços,1500.0,147,7.5.005,Manutenção de Poços,explicit_code_map
8,1,payment,8.02.001 - Compra de Equipamentos Operacionais,3968.16,207,9.2.001,Compra de Equipamentos Operacionais,explicit_code_map
9,1,payment,7.06.001 - Retirada Pro-Labore,30000.0,197,8.6.001,Retirada Pro-Labore,explicit_code_map
10,1,payment,4.01.001 - Insumos - Quimicos,1296.0,100,6.1.001,Insumos - Quimicos,explicit_code_map
11,1,payment,4.01.001 - Insumos - Quimicos,12000.0,100,6.1.001,Insumos - Quimicos,explicit_code_map
12,1,payment,5.01.005 - Saude - Operacao,3439.5,110,7.1.005,Saude - Operacao,explicit_code_map
13,1,payment,7.03.001 - Aluguel - Adm,2986.52,172,8.3.001,Aluguel - Adm,explicit_code_map
14,1,payment,5.01.004 - Transporte - Operacao,295.0,109,7.1.004,Transporte - Operacao,explicit_code_map
15,1,payment,7.01.012 - PJ - Adm / Coml,141.6,163,8.1.012,PJ - Adm / Coml,explicit_code_map
16,1,receipt,3.01.001 - Receita de Serviços Prestados,2890.23,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
17,1,payment,5.01.003 - Alimentacao - Operacao,5730.0,108,7.1.003,Alimentacao - Operacao,explicit_code_map
18,1,payment,5.03.003 - Manutencao de Maqu/Equip - Operacao,252.05,133,7.3.003,Manutencao de Maqu/Equip - Operacao,explicit_code_map
19,1,payment,7.01.012 - PJ - Adm / Coml,6881.12,163,8.1.012,PJ - Adm / Coml,explicit_code_map
20,1,receipt,3.05.001 - Juros de Aplicacao Financeira,0.97,84,3.03.001,Juros de Aplicacao Financeira,explicit_code_map
21,1,payment,4.01.001 - Insumos - Quimicos,1080.0,100,6.1.001,Insumos - Quimicos,explicit_code_map
22,1,receipt,3.01.001 - Receita de Serviços Prestados,4801.15,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
22,2,receipt,6.01.001 - Simples Nacional,102.26,93,4.01.001,Simples Nacional,explicit_code_map
23,1,transfer,Transferência de Entrada,3681.18,,,,
24,1,payment,4.01.004 - Insumos - Outros,28.0,103,6.1.004,Insumos - Outros,explicit_code_map
25,1,payment,5.02.008 - Estacionamento Operação,5.6,128,7.2.008,Estacionamento Operação,explicit_code_map
26,1,payment,5.02.008 - Estacionamento Operação,5.6,128,7.2.008,Estacionamento Operação,explicit_code_map
27,1,payment,5.02.008 - Estacionamento Operação,80.0,128,7.2.008,Estacionamento Operação,explicit_code_map
28,1,payment,5.02.004 - Manutencao de Veiculos - Operacao,190.0,124,7.2.004,Manutencao de Veiculos - Operacao,explicit_code_map
29,1,payment,5.02.008 - Estacionamento Operação,6.6,128,7.2.008,Estacionamento Operação,explicit_code_map
30,1,payment,5.02.008 - Estacionamento Operação,3.6,128,7.2.008,Estacionamento Operação,explicit_code_map
31,1,payment,5.01.003 - Alimentacao - Operacao,12.21,108,7.1.003,Alimentacao - Operacao,explicit_code_map
32,1,payment,5.02.008 - Estacionamento Operação,3.6,128,7.2.008,Estacionamento Operação,explicit_code_map
33,1,payment,5.02.003 - Combustivel - Operacao,100.0,123,7.2.003,Combustivel - Operacao,explicit_code_map
34,1,payment,5.02.008 - Estacionamento Operação,15.5,128,7.2.008,Estacionamento Operação,explicit_code_map
35,1,payment,5.02.008 - Estacionamento Operação,15.5,128,7.2.008,Estacionamento Operação,explicit_code_map
36,1,payment,5.02.003 - Combustivel - Operacao,40.0,123,7.2.003,Combustivel - Operacao,explicit_code_map
37,1,payment,5.02.003 - Combustivel - Operacao,100.0,123,7.2.003,Combustivel - Operacao,explicit_code_map
38,1,payment,5.02.008 - Estacionamento Operação,15.5,128,7.2.008,Estacionamento Operação,explicit_code_map
39,1,payment,5.02.003 - Combustivel - Operacao,200.0,123,7.2.003,Combustivel - Operacao,explicit_code_map
40,1,payment,5.02.003 - Combustivel - Operacao,200.0,123,7.2.003,Combustivel - Operacao,explicit_code_map
41,1,payment,5.02.003 - Combustivel - Operacao,248.57,123,7.2.003,Combustivel - Operacao,explicit_code_map
42,1,payment,5.02.003 - Combustivel - Operacao,150.0,123,7.2.003,Combustivel - Operacao,explicit_code_map
43,1,payment,5.05.999 - Outros Custos Operacionais,100.0,149,7.5.007,Outros Custos Operacionais,explicit_code_map
44,1,payment,5.01.003 - Alimentacao - Operacao,18.0,108,7.1.003,Alimentacao - Operacao,explicit_code_map
45,1,payment,5.02.008 - Estacionamento Operação,15.5,128,7.2.008,Estacionamento Operação,explicit_code_map
46,1,payment,5.02.004 - Manutencao de Veiculos - Operacao,110.0,124,7.2.004,Manutencao de Veiculos - Operacao,explicit_code_map
47,1,payment,5.02.008 - Estacionamento Operação,15.5,128,7.2.008,Estacionamento Operação,explicit_code_map
48,1,payment,5.02.003 - Combustivel - Operacao,100.0,123,7.2.003,Combustivel - Operacao,explicit_code_map
49,1,payment,5.02.003 - Combustivel - Operacao,120.0,123,7.2.003,Combustivel - Operacao,explicit_code_map
50,1,payment,5.02.003 - Combustivel - Operacao,180.0,123,7.2.003,Combustivel - Operacao,explicit_code_map
51,1,payment,5.02.008 - Estacionamento Operação,9.0,128,7.2.008,Estacionamento Operação,explicit_code_map
52,1,payment,5.02.003 - Combustivel - Operacao,229.82,123,7.2.003,Combustivel - Operacao,explicit_code_map
53,1,payment,5.02.008 - Estacionamento Operação,11.0,128,7.2.008,Estacionamento Operação,explicit_code_map
54,1,payment,5.02.008 - Estacionamento Operação,11.0,128,7.2.008,Estacionamento Operação,explicit_code_map
55,1,payment,4.01.004 - Insumos - Outros,9.0,103,6.1.004,Insumos - Outros,explicit_code_map
56,1,payment,4.01.002 - Insumos - Reagentes,598.0,101,6.1.002,Insumos - Reagentes,explicit_code_map
57,1,payment,5.02.003 - Combustivel - Operacao,323.47,123,7.2.003,Combustivel - Operacao,explicit_code_map
58,1,payment,5.02.008 - Estacionamento Operação,14.0,128,7.2.008,Estacionamento Operação,explicit_code_map
59,1,payment,5.02.008 - Estacionamento Operação,14.0,128,7.2.008,Estacionamento Operação,explicit_code_map
60,1,payment,5.02.008 - Estacionamento Operação,11.0,128,7.2.008,Estacionamento Operação,explicit_code_map
61,1,payment,5.02.008 - Estacionamento Operação,11.0,128,7.2.008,Estacionamento Operação,explicit_code_map
62,1,payment,5.02.003 - Combustivel - Operacao,360.61,123,7.2.003,Combustivel - Operacao,explicit_code_map
63,1,payment,7.03.008 - Telefonia e Internet - Adm,149.9,179,8.3.008,Telefonia e Internet - Adm,explicit_code_map
64,1,payment,7.01.012 - PJ - Adm / Coml,1776.0,163,8.1.012,PJ - Adm / Coml,explicit_code_map
65,1,payment,5.01.001 - Salarios - Operacao,3488.16,106,7.1.001,Salarios - Operacao,explicit_code_map
66,1,payment,5.01.001 - Salarios - Operacao,2078.69,106,7.1.001,Salarios - Operacao,explicit_code_map
67,1,payment,5.01.009 - FGTS - Operacao,2677.71,114,7.1.009,FGTS - Operacao,explicit_code_map
68,1,transfer,Transferência de Saída,3681.18,,,,
69,1,payment,7.03.010 - Sistema de Informacao,113.99,181,8.3.010,Sistema de Informacao,explicit_code_map
70,1,payment,7.01.012 - PJ - Adm / Coml,6371.73,163,8.1.012,PJ - Adm / Coml,explicit_code_map
71,1,payment,5.01.001 - Salarios - Operacao,1695.69,106,7.1.001,Salarios - Operacao,explicit_code_map
72,1,payment,5.01.001 - Salarios - Operacao,1646.02,106,7.1.001,Salarios - Operacao,explicit_code_map
73,1,payment,5.01.001 - Salarios - Operacao,2602.63,106,7.1.001,Salarios - Operacao,explicit_code_map
74,1,payment,7.01.001 - Salarios - Adm/Coml,1667.8,152,8.1.001,Salarios - Adm/Coml,explicit_code_map
75,1,payment,5.01.001 - Salarios - Operacao,2378.68,106,7.1.001,Salarios - Operacao,explicit_code_map
76,1,payment,5.01.001 - Salarios - Operacao,2602.63,106,7.1.001,Salarios - Operacao,explicit_code_map
77,1,payment,5.01.001 - Salarios - Operacao,2310.52,106,7.1.001,Salarios - Operacao,explicit_code_map
78,1,payment,5.03.003 - Manutencao de Maqu/Equip - Operacao,2427.9,133,7.3.003,Manutencao de Maqu/Equip - Operacao,explicit_code_map
79,1,payment,5.03.003 - Manutencao de Maqu/Equip - Operacao,49.98,133,7.3.003,Manutencao de Maqu/Equip - Operacao,explicit_code_map
80,1,payment,5.01.001 - Salarios - Operacao,348.52,106,7.1.001,Salarios - Operacao,explicit_code_map
81,1,payment,6.01.004 - ISS Sobre Vendas,828.61,96,4.01.004,ISS Sobre Vendas,explicit_code_map
82,1,payment,6.01.002 - ISS Retido NF,170.54,94,4.01.002,ISS Retido NF,explicit_code_map
83,1,payment,7.05.002 - Taxas e Impostos Bancarios,5.88,192,8.5.002,Taxas e Impostos Bancarios,explicit_code_map
84,1,receipt,3.01.001 - Receita de Serviços Prestados,25438.86,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
84,2,receipt,6.01.001 - Simples Nacional,1271.94,93,4.01.001,Simples Nacional,explicit_code_map
85,1,receipt,3.01.001 - Receita de Serviços Prestados,9974.9,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
86,1,receipt,3.01.001 - Receita de Serviços Prestados,6612.46,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
